news_report_url;news_report_headline;news_report_platform;date_of_publication;author;wire_service;Notes;NO OF SUBS
http://www.sabc.co.za/news/a/72c2e78041df517591a5bd1c2eddf908/Teenageundefinedaccusedundefinedinundefinedfarmundefinedmurdersundefinedtestifies-20131811;SABC News - Teenage accused in farm murders testifies_Monday 18 November 2013;SABC;18/11/2013;SABC;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.sabc.co.za/news/a/90f94d00434ec844ba40ff0bfd5d3b76/Griekwastadundefinedfarmundefinedmurderundefinedaccusedundefinedbackundefinedinundefinedcourt-20141803;SABC News - Griekwastad farm murder accused back in court_Tuesday 18 March 2014;SABC;18/03/2014;SABC;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.sabc.co.za/news/a/2568e600434f5376895bef0bfd5d3b76/Stateundefinedsetundefinedtoundefinedopposeundefinedpleaundefinedtoundefinedre-openundefinedGriekwastadundefinedtrial-20141803;SABC News - State set to oppose plea to re-open Griekwastad trial_Tuesday 18 March 2014;SABC;18/03/2014;Jacques Steenkamp;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.sabc.co.za/news/a/bb33560043644a629a969f856359f483/ClosingundefinedargumentsundefinedtoundefinedbeginundefinedinundefinedGriekwastadundefinedmurderundefinedtrial-20142503;SABC News - Closing arguments to begin in Griekwastad murder trial_Tuesday 25 March 2014;SABC;25/03/2014;SABC;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.sabc.co.za/news/a/dc460100436af8c9907895856359f483/EvidenceundefinedmountsundefinedagainstundefinedGriekwastadundefinedmurderundefinedaccused-20142703;SABC News - Evidence mounts against Griekwastad murder accused_Thursday 27 March 2014;SABC;27/03/2014;Jacques Steenkamp;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.sabc.co.za/news/a/78fada80436b448782af87a64eba5fdc/Griekwastadundefinedboyundefinedconvicted-20142703;SABC News - Griekwastad boy convicted_Thursday 27 March 2014;SABC;27/03/2014;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.sabc.co.za/news/a/8c75c900443c845aaea2af2570752840/CriminologistundefinedtestifiesundefinedinundefinedSteenkampundefinedtripleundefinedmurderundefinedcase-20140306;SABC News - Criminologist testifies in Steenkamp triple murder case_Tuesday 3 June 2014;SABC;03/06/2014;Ulrich Hendriks;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.sabc.co.za/news/a/09643a80443dfd51b82cbf2570752840/Pre-sentencingundefinedcontinuesundefinedinundefinedGriekwastadundefinedmurderundefinedtrial-20140406;SABC News - Pre-sentencing continues in Griekwastad murder trial_Wednesday 4 June 2014;SABC;04/06/2014;Reginald Witbooi;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://you.co.za/news/what-you-need-to-know-about-the-griekwastad-murder-case/;What you need to know about the Griekwastad murder case _ YOU;YOU;14/03/2013;Dalena Theron;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.timeslive.co.za/local/2013/11/13/14-year-old-girl-killed-in-griekwastad-farm-murder-left-a-trail-of-blood;ND;TIMES;13/11/2013;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.netwerk24.com/nuus/2013-11-11-verkrag-vermink-vermoor;Verkrag, vermink, vermoor _ Netwerk24;NETWERK24;11/11/2013;Charne Kemp;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
